"Position","product_link","age","number_of_pieces","title","price","image_link","product_description"
24,"https://www.lego.com/nl-nl/product/moana-merida-40621","10+",410,"Vaiana & Merida","€19,99","https://www.lego.com/cdn/cs/set/assets/blt5f017d6b3a43be0f/40621.png","Inspireer kinderen van 10 jaar en ouder met deze BrickHeadz™ set met bouwbare LEGO® figuren van Disney's Vaiana en Disney•Pixar's Merida (40621). Filmfans kunnen de gedetailleerde modellen bouwen, elk op hun eigen bouwplaats zetten en ze een mooi plekje geven in huis of op kantoor. De set bestaat uit 410 onderdelen om de 2 LEGO figuren mee te creëren. Vaiana's rok kan worden versierd zoals in de film. Deze set is een leuk cadeau voor een verjaardag of de feestdagen en een prachtig verzamelmodelvoor fans van de films. Opvallende personages van LEGO stenen - bouwbare LEGO® BrickHeadz™ figuren van Disney's Vaiana en Disney Pixar's Merida (40621). Een leuk cadeau voor filmfans of oudere kinderen die van inspirerende rolmodellen houden Avontuurlijke blikvanger - deze 410-delige LEGO® BrickHeadz™ bouwset om te verzamelen voor kinderen vanaf 10 jaar bevat stapsgewijze bouwinstructies en bouwplaten om de modellen op een mooi plekje neer te zetten Afmetingen - Vaiana en Merida zijn allebei ca. 8 cm hoog"
25,"https://www.lego.com/nl-nl/product/eve-wall-e-40619","10+",155,"EVE & WALL•E","€14,99","https://www.lego.com/cdn/cs/set/assets/bltb0cea89fda9246a6/40619.png","Fascineer filmfans en kinderen van 10 jaar en ouder met deze leuke BrickHeadz™ set met bouwbare LEGO® figuren van Disney•Pixar's EVE & WALL•E (40619). Bouw beide gedetailleerde modellen, zet ze elk op hun eigen bouwplaat en geef ze een mooi plekje. De verzamelset bestaat uit 155 onderdelen om de robots mee te creëren, plus een klein plantelement. Het lichaam en de ogen van WALL•E worden versierd met stickers. Deze set is een leuk cadeau voor de feestdagen of een verjaardag en een prachtige blikvanger voor kinderen en fans van de Disney•Pixar film WALL•E. Leuke robotpersonages - bouwbare LEGO® BrickHeadz™ figuren van Disney•Pixar's EVE & WALL•E (40619) om neer te zetten. Een creatief cadeau voor filmfans of oudere kinderen met een passie voor robots Hightech displaymodel - deze 155-delige LEGO® BrickHeadz™ bouwset om te verzamelen voor kinderen vanaf 10 jaar bevat stapsgewijze bouwinstructies en bouwplaten om de modellen op een mooi plekje neer te zetten Afmetingen - WALL•E is ca. 5 cm hoog en EVE is ca. 8 cm hoog"
26,"https://www.lego.com/nl-nl/product/frodo-gollum-40630","10+",184,"Frodo™ & Gollem™","€14,99","https://www.lego.com/cdn/cs/set/assets/blt66f9f99e366a124d/40630.png","Fans van de The Lord of the Rings™ saga zullen weg zijn van deze LEGO® BrickHeadz™ Frodo™ & Gollem™ verzamelset (40630). Frodo is een volledige LEGO BrickHeadz figuur met een mantel van LEGO stenen, een ring en een zwaard. De Gollem figuur is kleiner om de verhouding tussen de twee personages weer te geven en houdt een vis vast - zijn favoriete eten. Dit bouwbare displaymodel is een geweldig cadeau voor fans van The Lord of the Rings, LEGO bouwers en LEGO BrickHeadz verzamelaars. LEGO® BrickHeadz™ Frodo™ & Gollem™ bouwset (40630) om te verzamelen - een LEGO BrickHeadz Frodo figuur op volledige grootte met zwaard en ring en een kleiner model van Gollem met een viselement Cadeau-idee voor kinderen vanaf 10 jaar - deze 184-delige constructieset is een leuk cadeau voor fans van The Lord of the Rings™, LEGO® bouwers en LEGO BrickHeadz™ verzamelaars Bouwen en bewonderen - Frodo™ is ca. 8 cm hoog en Gollem™ is ca. 5 cm hoog. Elk model is inclusief een bouwplaat om het op neer te zetten"
27,"https://www.lego.com/nl-nl/product/alex-40624","10+",86,"Alex","€9,99","https://www.lego.com/cdn/cs/set/assets/bltc971a95594361e17/40624.png","Verras een Minecraft® speler van 10 jaar of ouder met dit leuke cadeautje. LEGO® BrickHeadz™ Alex (40624) is een BrickHeadz versie om te verzamelen van een van de populairste personages uit de game. De figuur heeft authentieke Minecraft details zoals een diamanten houweel en is geschikt om mee te spelen en neer te zetten. Dit BrickHeadz personage is ca. 8 cm hoog en staat geweldig in elke kinderkamer. Cadeau voor Minecraft® spelers - LEGO® BrickHeadz™ Alex (40624) is een bouwmodel van een van de bekendste helden uit de game Minecraft Authentieke details - de realistische Minecraft® figuur is uitgerust met de bekende diamanten houweel van het personage Gemaakt om mee te spelen en neer te zetten - deze figuur uit de BrickHeadz™ serie (elk apart verkrijgbaar) is ca. 8 cm hoog en wordt geleverd met een bouwplaat om hem op neer te zetten"
28,"https://www.lego.com/nl-nl/product/llama-40625","10+",100,"Lama","€9,99","https://www.lego.com/cdn/cs/set/assets/blt3cdc497329da8dfc/40625.png","Minecraft® spelers zullen bekend zijn met de schattige lama mobs uit het spel. Met de LEGO® BrickHeadz™ Lama (40625) kunnen kinderen het populaire personage met trots neerzetten zodat iedereen het kan bewonderen. De bouwbare BrickHeadz figuur is ca. 8 cm hoog en wordt geleverd met een bouwplaat - ideaal om mee te spelen en neer te zetten in een kinderkamer. Cadeau voor Minecraft® spelers - de LEGO® BrickHeadz™ Lama (40625) is een bouwbaar model van een van de populairste mobs uit de game Minecraft Authentieke details - deze vrolijk gekleurde figuur is een gedetailleerde LEGO® versie van de bekende Minecraft® mob Gemaakt om mee te spelen en neer te zetten - deze figuur uit de BrickHeadz™ serie (elk apart verkrijgbaar) is ca. 8 cm hoog en wordt geleverd met een bouwplaat om hem op neer te zetten"
29,"https://www.lego.com/nl-nl/product/tusken-raider-40615","10+",152,"Tusken Raider™","€9,99","https://www.lego.com/cdn/cs/set/assets/blt680e77b1a610f01f/40615.png","Star Wars™ fans kunnen spannende scènes op Tatooine herbeleven tijdens het bouwen van dit LEGO® BrickHeadz™ Tusken Raider (40615) personage. Met authentieke details zoals de Star Wars: A New Hope outfit, plus een gaffi stick en blaster. Een cool cadeau voor fans vanaf 10 jaar of Star Wars verzamelaars. Dit bouwbare personage is inclusief een bouwplaat en vormt een opvallende aanvulling op elke verzameling Star Wars bouwspeelgoed. Tusken Raider in LEGO® BrickHeadz™ stijl - een bouwbaar LEGO BrickHeadz Tusken Raider (40615) personage in een Star Wars: A New Hope outfit, inclusief een gaffi stick en een blaster Een echte blikvanger - deze 152-delige LEGO® Star Wars™ bouwset voor kinderen vanaf 10 jaar bevat stapsgewijze bouwinstructies en een bouwplaat om het model op een mooi plekje neer te zetten Cadeautip - dit Star Wars™ bouwspeelgoed is ca. 8 cm hoog, 5 cm breed en 5 cm diep. Geef het cadeau aan een Star Wars fan voor een verjaardag, de feestdagen of een andere gelegenheid"
30,"https://www.lego.com/nl-nl/product/zombie-40626","10+",81,"Zombie","€9,99","https://www.lego.com/cdn/cs/set/assets/bltf04ba10d32779189/40626.png","Zombies zijn de bekendste vijandige mobs uit de game Minecraft®. Nu kunnen Minecraft spelers vanaf 10 jaar hun eigen LEGO® BrickHeadz™ Zombie (40626) bouwen. De figuur met authentieke details is ca. 8 cm hoog en wordt geleverd met een bouwplaat - ideaal om mee te spelen en neer te zetten op een mooi plekje. Cadeau voor Minecraft® spelers - LEGO® BrickHeadz™ Zombie (40626) is een bouwmodel van een van de bekendste vijandige mobs uit de game Minecraft Authentieke details - deze felgekleurde en nauwkeurige replica van het Minecraft® personage is voorzien van een bijl Gemaakt om mee te spelen en neer te zetten - deze figuur uit de BrickHeadz™ serie (elk apart verkrijgbaar) is ca. 8 cm hoog en wordt geleverd met een bouwplaat om hem op neer te zetten"
31,"https://www.lego.com/nl-nl/product/miles-tails-prower-40628","10+",131,"Miles 'Tails' Prower","€9,99","https://www.lego.com/cdn/cs/set/assets/blt5124bf0c4d89c5c8/40628.png","De lieve Tails is een favoriet uit het Sonic the Hedgehog™ universum. Fans van de vos met twee staarten kunnen nu een eerbetoon brengen aan de loyaliteit van de slimme Tails met deze LEGO® BrickHeadz™ Miles 'Tails' Prower (40628) set. De bouwset is inclusief een bouwplaat, zodat kinderen vanaf 10 jaar een leuke blikvanger voor op hun bureau of naast hun gamecomputer kunnen bouwen. Bouw Tails na in BrickHeadz™ stijl - een cadeau voor iedereen vanaf 10 jaar die fan is van Tails uit het Sonic the Hedgehog™ universum Een leuk displaymodel - deze LEGO® BrickHeadz™ Miles 'Tails' Prower (40628) set bevat een bouwplaat, zodat fans een blikvanger kunnen maken voor op hun bureau of naast hun gamecomputer Afmetingen - Tails is ca. 8 cm hoog"
32,"https://www.lego.com/nl-nl/product/sonic-the-hedgehog-40627","10+",139,"Sonic the Hedgehog™","€9,99","https://www.lego.com/cdn/cs/set/assets/bltbfde534d2f7588d6/40627.png","Fans van Sonic the Hedgehog™ zullen het geweldig vinden om even niet op een scherm te kijken en een eerbetoon te brengen aan hun favoriete blauwe held. Deze LEGO® BrickHeadz™ Sonic the Hedgehog™ (40627) set is inclusief een bouwplaat en vormt een leuke blikvanger op je bureau of naast je gamecomputer. Een ideaal cadeau voor Sonic fans van 10 jaar en ouder. Bouw Sonic the Hedgehog™ na in BrickHeadz™ stijl - een cadeau voor Sonic fans van 10 jaar en ouder Een leuk displaymodel - deze LEGO® BrickHeadz™ Sonic the Hedgehog™ (40627) set bevat een bouwplaat, zodat fans een blikvanger kunnen maken voor op hun bureau of naast hun gamecomputer Afmetingen - Sonic the Hedgehog™ is ca. 8 cm hoog"
33,"https://www.lego.com/nl-nl/product/belle-bottom-kevin-and-bob-40421","10+",309,"Belle Bottom, Kevin en Bob","€19,99","https://www.lego.com/cdn/cs/set/assets/blt284e031ff0ef020f/40421.jpg","LEGO® BrickHeadz™ Belle Bottom, Kevin en Bob (40421) bevat 3 personages uit de Minions film: Belle Bottom, Minion Kevin en Minion Bob met een wapen. Net als de andere modellen uit de LEGO BrickHeadz collectie worden deze 3 geleverd met een uniek personage-ID en een robuuste bouwplaat waarop je ze eenvoudig kunt neerzetten - alleen, als groep of bij andere BrickHeadz modellen. Met dit 309-delige bouwspeelgoed kunnen kinderen 3 bekende LEGO® BrickHeadz™ personages uit de film Minions: The Rise of Gru bouwen. De set is een geweldig cadeau voor LEGO® fans en Minions liefhebbers en biedt kinderen vanaf 10 jaar een leuke bouw- en speelervaring die bij hun leeftijd past. Te combineren met LEGO® BrickHeadz™ Gru, Stuart en Otto 40420 voor nog meer doldwaze speelavonturen. Met de figuren van Belle Bottom van ca. 9 cm hoog, Minion Kevin van ca. 8 cm hoog en Minion Bob van ca. 5 cm hoog beleven kinderen urenlang bouw- en speelplezier, waarna ze de set ook als blikvanger kunnen neerzetten."
34,"https://www.lego.com/nl-nl/product/wedding-bride-40383","10+",306,"Bruid","€12,99","https://www.lego.com/cdn/cs/set/assets/blt4ab3e36aa1209102/40383.jpg","Deze LEGO® BrickHeadz™ Bruid (40383) is een leuke manier om een aanstaand huwelijk te vieren - of het nu de bruiloft van een vriendin, een familielid of die van jezelf is! Het bouwbare model wordt geleverd met een bril, bloemen, jurkdecoraties, een ring en andere optionele onderdelen om de gezichtsuitdrukking, het haar en de huidskleur van de bruid te personaliseren. Met minimaal 14 mogelijke looks is er volop gelegenheid om creatief aan de slag te gaan voor de grote dag! Dit LEGO® BrickHeadz™ model van een mooie bruid om zelf te bouwen en te verzamelen, met aanpasbare gezichtsuitdrukking, haar en huidskleur, is een geweldig cadeau voor een aanstaande bruid. De set is eenvoudig en leuk om te bouwen en geschikt voor iedereen van 10 jaar en ouder. Met 306 onderdelen en een hoogte van ca. 8 cm ziet deze bouwbare bruid er geweldig uit in combinatie met de LEGO® BrickHeadz™ Bruidegom (40384) of een andere bruid!"
